Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV ROC-AUC
Logistic Regression,0.8005677785663591,0.6576271186440678,0.5187165775401069,0.5799701046337817,0.8452582086853188,0.8478817736136305
Decision Tree,0.7714691270404542,0.5764705882352941,0.5240641711229946,0.5490196078431373,0.745440336872562,0.7351784643705129
Random Forest,0.7934705464868701,0.6387959866220736,0.5106951871657754,0.5676077265973254,0.8295551422149888,0.8277510758855178
Gradient Boosting,0.7963094393186657,0.6407766990291263,0.5294117647058824,0.5797950219619327,0.83775478570875,0.8381462241336225
